full_name,hits,homeruns,rbi,runs,stolen_bases,walks,strikeouts,games_played,at_bats,batting_average,on_base_plus_slugging
Tom Gordon,0,0,0,0,0,0,0.0,693,2,0.0,0.0
Tom Gorman,1,0,0,0,0,0,6.0,126,14,0.03571428571428571,0.07142857142857142
Tom Gorzelanny,20,0,13,6,0,9,102.0,314,217,0.07808333333333334,0.18666666666666665
Tom Grant,3,0,2,2,0,3,4.0,16,20,0.15,0.461
Tom Gregorio,3,0,2,1,0,1,8.0,12,19,0.158,0.396
Tom Grieve,474,65,254,209,7,135,424.0,671,1907,0.23666666666666666,0.6795555555555556
Tom Griffin,57,8,24,25,0,8,123.0,353,343,0.14883333333333335,0.41008333333333336
Tom Hall,23,0,2,17,0,3,41.0,319,140,0.1417142857142857,0.29857142857142854
Tom Haller,172,17,92,77,3,72,79.0,255,648,0.25333333333333335,0.717
Tom Hausman,7,0,2,1,0,2,18.0,128,63,0.0708,0.22920000000000001
Tom Heintzelman,34,3,12,17,0,14,22.0,90,140,0.19225,0.50525
Tom Henke,0,0,0,0,0,0,0.0,317,1,0.0,0.0
Tom Herr,1450,28,574,676,188,627,584.0,1514,5349,0.2629230769230769,0.6797692307692308
Tom Hilgendorf,4,0,4,0,0,1,15.0,143,26,0.08175,0.19725
Tom House,9,0,4,3,0,1,8.0,221,35,0.18516666666666667,0.4018333333333333
Tom Hume,22,1,13,8,0,4,71.0,544,184,0.08772727272727274,0.23072727272727275
Tom Hutton,397,22,182,194,15,229,133.0,933,1605,0.23370000000000002,0.6329
Tom Johnson,0,0,0,0,0,0,0.0,111,0,0.0,0.0
Tom Kelley,5,0,0,1,0,2,36.0,62,79,0.045000000000000005,0.107
Tom Kelly,23,1,11,11,0,15,22.0,49,127,0.181,0.506
Tom Koehler,18,0,5,4,0,4,116.0,146,212,0.06716666666666667,0.14916666666666667
Tom Lampkin,422,56,236,224,23,193,286.0,777,1796,0.21646153846153846,0.6488461538461539
Tom Lawless,110,2,24,78,53,41,85.0,343,531,0.1855,0.47212499999999996
Tom Lundstedt,6,0,1,3,0,9,13.0,44,65,0.067,0.212
Tom Magrann,0,0,0,0,0,0,4.0,9,10,0.0,0.0
Tom Marsh,62,5,34,23,0,7,49.0,93,252,0.25733333333333336,0.6723333333333333
Tom Martin,0,0,0,0,0,0,4.0,354,12,0.0,0.0
Tom Mastny,0,0,0,0,0,0,0.0,66,0,0.0,0.0
Tom Matchick,59,1,18,19,3,14,49.0,110,295,0.209,0.4703333333333333
Tom McCraw,370,31,152,185,36,135,208.0,603,1476,0.25416666666666665,0.706
Tom McGraw,0,0,0,0,0,0,0.0,2,0,0.0,0.0
Tom McMillan,0,0,0,0,0,0,0.0,2,5,0.0,0.0
Tom Murphy,258,50,142,134,3,103,399.0,573,1135,0.201,0.5874666666666666
Tom Newell,0,0,0,0,0,0,0.0,2,0,0.0,0.0
Tom Niedenfuer,3,0,2,2,0,1,9.0,362,26,0.076375,0.184
Tom Nieto,127,5,69,37,0,55,135.0,251,619,0.184,0.5192857142857142
